Date,Title,Description
26/02/2023 - 18h20,Boletim: situação e ações de apoio no litoral norte (26/2 – 18h),Secretaria dos Direitos das Pessoas com Deficiência encaminha mais de 1.500 equipamentos e acessórios às vítimas no litoral norte
26/02/2023 - 11h00,Boletim: situação e ações de apoio no litoral norte (26/2 – 11h),Poupatempo Móvel já realizou cerca de 450 atendimentos para emissão de RG e Carteira Nacional de Habilitação (CNH)
25/02/2023 - 19h00,Boletim: situação e ações de apoio no litoral norte (25/2 – 19h),SP cria gerência estadual para acompanhar de perto os trabalhos de reconstrução em São Sebastião
25/02/2023 - 17h20,Governo de SP se reúne com vice-presidente da República em São Sebastião,Estado e União discutiram projetos habitacionais e medidas de prevenção a desastres naturais
25/02/2023 - 15h30,Governo do Estado de São Paulo isenta ICMS das doações de empresas ao Litoral Norte,Donativos deverão ser destinados ao Fundo Social de São Paulo ou a entidades assistenciais de utilidade pública
27/02/2023 - 15h50,Instituto do Câncer reforça campanha contra o HPV e câncer do colo do útero,Vírus está relacionado a 100% dos casos de câncer do colo do útero e pode ser prevenido
27/02/2023 - 13h34,Militares do Estado de São Paulo retornam de missão humanitária na Turquia,"Bombeiros, médicos militares e membros da Defesa Civil de SP auxiliaram nas operações de resgate das vítimas do terremoto"
27/02/2023 - 13h07,Governo de São Paulo reduz carga tributária de setores produtivos até o final de 2024,"Decretos visam estimular a economia paulista e concedem isenção, redução de base de cálculo, crédito outorgado ou diferimento do ICMS"
27/02/2023 - 12h01,Boletim: situação e ações de apoio no Litoral Norte (27/2 – 11h),Nesta segunda-feira (27) há previsão de chuvas no litoral e a Defesa Civil do Estado recomenda atenção às áreas de risco na região
27/02/2023 - 10h31,Começa no estado de SP a vacinação com Pfizer Bivalente,Imunizante oferece proteção ainda maior contra novas variantes da Covid-19
26/02/2023 - 18h20,Boletim: situação e ações de apoio no litoral norte (26/2 – 18h),Secretaria dos Direitos das Pessoas com Deficiência encaminha mais de 1.500 equipamentos e acessórios às vítimas no litoral norte
26/02/2023 - 11h00,Boletim: situação e ações de apoio no litoral norte (26/2 – 11h),Poupatempo Móvel já realizou cerca de 450 atendimentos para emissão de RG e Carteira Nacional de Habilitação (CNH)
25/02/2023 - 19h00,Boletim: situação e ações de apoio no litoral norte (25/2 – 19h),SP cria gerência estadual para acompanhar de perto os trabalhos de reconstrução em São Sebastião
25/02/2023 - 17h20,Governo de SP se reúne com vice-presidente da República em São Sebastião,Estado e União discutiram projetos habitacionais e medidas de prevenção a desastres naturais
25/02/2023 - 15h30,Governo do Estado de São Paulo isenta ICMS das doações de empresas ao Litoral Norte,Donativos deverão ser destinados ao Fundo Social de São Paulo ou a entidades assistenciais de utilidade pública
27/02/2023 - 15h50,Instituto do Câncer reforça campanha contra o HPV e câncer do colo do útero,Vírus está relacionado a 100% dos casos de câncer do colo do útero e pode ser prevenido
27/02/2023 - 13h34,Militares do Estado de São Paulo retornam de missão humanitária na Turquia,"Bombeiros, médicos militares e membros da Defesa Civil de SP auxiliaram nas operações de resgate das vítimas do terremoto"
27/02/2023 - 13h07,Governo de São Paulo reduz carga tributária de setores produtivos até o final de 2024,"Decretos visam estimular a economia paulista e concedem isenção, redução de base de cálculo, crédito outorgado ou diferimento do ICMS"
27/02/2023 - 12h01,Boletim: situação e ações de apoio no Litoral Norte (27/2 – 11h),Nesta segunda-feira (27) há previsão de chuvas no litoral e a Defesa Civil do Estado recomenda atenção às áreas de risco na região
27/02/2023 - 10h31,Começa no estado de SP a vacinação com Pfizer Bivalente,Imunizante oferece proteção ainda maior contra novas variantes da Covid-19
26/02/2023 - 18h20,Boletim: situação e ações de apoio no litoral norte (26/2 – 18h),Secretaria dos Direitos das Pessoas com Deficiência encaminha mais de 1.500 equipamentos e acessórios às vítimas no litoral norte
26/02/2023 - 11h00,Boletim: situação e ações de apoio no litoral norte (26/2 – 11h),Poupatempo Móvel já realizou cerca de 450 atendimentos para emissão de RG e Carteira Nacional de Habilitação (CNH)
25/02/2023 - 19h00,Boletim: situação e ações de apoio no litoral norte (25/2 – 19h),SP cria gerência estadual para acompanhar de perto os trabalhos de reconstrução em São Sebastião
25/02/2023 - 17h20,Governo de SP se reúne com vice-presidente da República em São Sebastião,Estado e União discutiram projetos habitacionais e medidas de prevenção a desastres naturais
25/02/2023 - 15h30,Governo do Estado de São Paulo isenta ICMS das doações de empresas ao Litoral Norte,Donativos deverão ser destinados ao Fundo Social de São Paulo ou a entidades assistenciais de utilidade pública
27/02/2023 - 15h50,Instituto do Câncer reforça campanha contra o HPV e câncer do colo do útero,Vírus está relacionado a 100% dos casos de câncer do colo do útero e pode ser prevenido
27/02/2023 - 13h34,Militares do Estado de São Paulo retornam de missão humanitária na Turquia,"Bombeiros, médicos militares e membros da Defesa Civil de SP auxiliaram nas operações de resgate das vítimas do terremoto"
27/02/2023 - 13h07,Governo de São Paulo reduz carga tributária de setores produtivos até o final de 2024,"Decretos visam estimular a economia paulista e concedem isenção, redução de base de cálculo, crédito outorgado ou diferimento do ICMS"
27/02/2023 - 12h01,Boletim: situação e ações de apoio no Litoral Norte (27/2 – 11h),Nesta segunda-feira (27) há previsão de chuvas no litoral e a Defesa Civil do Estado recomenda atenção às áreas de risco na região
27/02/2023 - 10h31,Começa no estado de SP a vacinação com Pfizer Bivalente,Imunizante oferece proteção ainda maior contra novas variantes da Covid-19
26/02/2023 - 18h20,Boletim: situação e ações de apoio no litoral norte (26/2 – 18h),Secretaria dos Direitos das Pessoas com Deficiência encaminha mais de 1.500 equipamentos e acessórios às vítimas no litoral norte
26/02/2023 - 11h00,Boletim: situação e ações de apoio no litoral norte (26/2 – 11h),Poupatempo Móvel já realizou cerca de 450 atendimentos para emissão de RG e Carteira Nacional de Habilitação (CNH)
25/02/2023 - 19h00,Boletim: situação e ações de apoio no litoral norte (25/2 – 19h),SP cria gerência estadual para acompanhar de perto os trabalhos de reconstrução em São Sebastião
25/02/2023 - 17h20,Governo de SP se reúne com vice-presidente da República em São Sebastião,Estado e União discutiram projetos habitacionais e medidas de prevenção a desastres naturais
25/02/2023 - 15h30,Governo do Estado de São Paulo isenta ICMS das doações de empresas ao Litoral Norte,Donativos deverão ser destinados ao Fundo Social de São Paulo ou a entidades assistenciais de utilidade pública
27/02/2023 - 15h50,Instituto do Câncer reforça campanha contra o HPV e câncer do colo do útero,Vírus está relacionado a 100% dos casos de câncer do colo do útero e pode ser prevenido
27/02/2023 - 13h34,Militares do Estado de São Paulo retornam de missão humanitária na Turquia,"Bombeiros, médicos militares e membros da Defesa Civil de SP auxiliaram nas operações de resgate das vítimas do terremoto"
27/02/2023 - 13h07,Governo de São Paulo reduz carga tributária de setores produtivos até o final de 2024,"Decretos visam estimular a economia paulista e concedem isenção, redução de base de cálculo, crédito outorgado ou diferimento do ICMS"
27/02/2023 - 12h01,Boletim: situação e ações de apoio no Litoral Norte (27/2 – 11h),Nesta segunda-feira (27) há previsão de chuvas no litoral e a Defesa Civil do Estado recomenda atenção às áreas de risco na região
27/02/2023 - 10h31,Começa no estado de SP a vacinação com Pfizer Bivalente,Imunizante oferece proteção ainda maior contra novas variantes da Covid-19
26/02/2023 - 18h20,Boletim: situação e ações de apoio no litoral norte (26/2 – 18h),Secretaria dos Direitos das Pessoas com Deficiência encaminha mais de 1.500 equipamentos e acessórios às vítimas no litoral norte
26/02/2023 - 11h00,Boletim: situação e ações de apoio no litoral norte (26/2 – 11h),Poupatempo Móvel já realizou cerca de 450 atendimentos para emissão de RG e Carteira Nacional de Habilitação (CNH)
25/02/2023 - 19h00,Boletim: situação e ações de apoio no litoral norte (25/2 – 19h),SP cria gerência estadual para acompanhar de perto os trabalhos de reconstrução em São Sebastião
25/02/2023 - 17h20,Governo de SP se reúne com vice-presidente da República em São Sebastião,Estado e União discutiram projetos habitacionais e medidas de prevenção a desastres naturais
25/02/2023 - 15h30,Governo do Estado de São Paulo isenta ICMS das doações de empresas ao Litoral Norte,Donativos deverão ser destinados ao Fundo Social de São Paulo ou a entidades assistenciais de utilidade pública
